,PLAYER,GP,MIN,FGM,FTM,3PM,REB,AST,STL,BLK,TO,PTS,FPPG,TOTALFPTS,FG%,FT%
1,James Harden,79,37.1,8.2,8.1,2.7,5.3,5.9,2.0,3.0,1.5,26.0,50.71535,4006.51265,0.459,0.871
2,DeMarcus Cousins,73,34.0,8.8,6.8,0.0,12.7,4.0,1.7,0.6,2.5,24.1,48.0464,3507.3871999999997,0.474,0.762
3,Kevin Durant,79,37.7,9.1,7.6,2.2,6.9,4.7,1.2,0.6,3.5,27.2,45.7004,3610.3316,0.512,0.878
4,Chris Paul,73,34.8,6.7,3.5,1.8,4.2,10.9,2.1,0.5,2.4,20.0,44.76385,3267.76105,0.489,0.887
5,Anthony Davis,73,35.9,9.8,6.0,0.4,10.4,2.8,1.5,0.2,3.2,23.8,44.443000000000005,3244.3390000000004,0.53,0.807
6,Stephen Curry,79,33.5,8.2,3.7,3.8,4.1,7.6,2.1,0.6,3.8,24.8,43.19799999999999,3412.6419999999994,0.49,0.904
7,LeBron James,74,36.5,8.7,5.4,1.9,6.2,7.3,1.6,0.3,3.0,25.5,42.4858,3143.9492,0.502,0.726
8,Russell Westbrook,74,33.8,8.1,7.0,1.3,6.6,8.0,2.0,0.2,2.3,18.8,40.6694,3009.5356,0.437,0.828
9,Blake Griffin,76,35.9,9.4,5.3,0.1,8.3,5.1,0.9,0.6,2.0,22.7,40.50195,3078.1482,0.514,0.735
10,Damian Lillard,82,37.5,8.4,6.1,2.8,4.8,6.5,1.1,0.2,4.1,24.4,39.0625,3203.125,0.42,0.866
11,Kevin Love,74,34.8,6.1,3.7,2.1,10.0,2.4,0.7,1.4,2.1,17.8,38.523500000000006,2850.7390000000005,0.44,0.806
12,Carmelo Anthony,69,37.3,9.4,5.5,1.8,6.9,3.0,1.1,1.7,4.0,24.4,38.416149999999995,2650.7143499999997,0.448,0.825
13,John Wall,77,35.8,6.4,3.7,0.8,4.4,9.9,1.8,0.1,2.3,19.3,38.15075,2937.60775,0.45,0.799
14,Jimmy Butler,72,37.8,7.1,5.4,1.4,5.9,3.6,1.8,0.6,2.9,22.5,36.8721,2654.7912,0.468,0.839
15,Paul George,78,36.6,7.5,5.4,2.2,7.4,3.7,1.8,0.3,2.5,20.4,36.611999999999995,2855.7359999999994,0.433,0.842
16,Nikola Vucevic,72,34.6,8.2,2.3,0.0,11.5,2.0,0.8,0.5,1.6,17.3,36.523450000000004,2629.6884000000005,0.528,0.759
17,LaMarcus Aldridge,73,31.9,7.8,4.0,0.1,9.8,1.9,0.7,0.6,2.4,20.7,36.435599999999994,2659.7987999999996,0.501,0.837
18,Rudy Gobert,75,35.5,5.2,3.0,0.0,12.7,1.9,1.0,0.2,1.3,15.9,36.0171,2701.2825,0.574,0.633
19,Eric Bledsoe,78,35.7,6.2,4.4,1.2,5.3,6.1,1.7,1.7,2.2,18.9,35.9388,2803.2264,0.452,0.794
20,Pau Gasol,71,33.7,7.1,3.5,0.1,10.0,2.9,0.4,0.5,1.1,17.2,35.863350000000004,2546.2978500000004,0.488,0.781
21,Ricky Rubio,62,32.0,3.4,2.4,0.6,4.2,8.5,2.2,2.6,1.6,14.5,35.73159999999999,2215.3591999999994,0.367,0.806
22,Gordon Hayward,77,35.4,6.7,5.1,1.8,4.7,4.6,1.4,0.8,2.8,21.9,35.653600000000004,2745.3272,0.459,0.812
23,Monta Ellis,81,37.0,7.6,3.7,1.0,3.6,6.0,1.9,0.7,2.0,21.5,34.681650000000005,2809.2136500000006,0.442,0.769
24,Victor Oladipo,77,35.3,6.8,3.9,1.2,4.3,4.2,1.9,1.8,1.6,19.4,34.27355,2639.06335,0.443,0.805
25,Kenneth Faried,80,31.5,6.5,3.3,0.0,11.3,1.3,1.1,0.6,2.0,16.1,34.123,2729.8399999999997,0.524,0.668
26,Paul Millsap,74,33.1,6.2,3.6,1.1,8.0,3.2,1.7,0.4,1.9,17.3,33.943000000000005,2511.782,0.48,0.749
27,Draymond Green,80,32.3,4.4,1.7,1.4,8.3,3.9,1.6,1.5,2.9,16.6,33.716150000000006,2697.2920000000004,0.443,0.663
28,Nicolas Batum,78,36.2,5.2,2.0,2.0,6.5,4.9,1.1,1.8,1.8,16.9,33.446799999999996,2608.8504,0.442,0.84
29,Klay Thompson,81,32.3,8.0,3.5,3.2,3.1,3.0,1.2,0.5,1.5,21.0,33.350750000000005,2701.4107500000005,0.467,0.889
30,Kawhi Leonard,72,32.8,7.0,3.7,1.3,7.5,2.7,2.3,0.2,2.5,18.7,33.29425,2397.1859999999997,0.491,0.813
31,Jeff Teague,76,31.4,5.9,3.9,1.1,2.5,7.3,1.8,0.3,3.0,20.0,33.20125,2523.295,0.465,0.863
32,Goran Dragic,77,34.9,6.7,3.0,1.3,3.3,5.4,1.2,1.1,1.5,19.6,32.8427,2528.8879,0.503,0.767
33,Isaiah Thomas,74,29.0,6.1,5.0,2.0,2.5,5.8,1.0,0.8,1.7,19.0,32.8073,2427.7401999999997,0.434,0.865
34,Brook Lopez,73,31.8,7.8,3.7,0.0,8.3,0.8,0.6,0.2,2.1,20.0,32.48570000000001,2371.456100000001,0.522,0.81
35,Kyrie Irving,55,34.3,7.1,4.0,2.1,2.8,4.8,1.5,0.5,2.7,20.3,32.3662,1780.1409999999998,0.461,0.862
36,Marc Gasol,76,33.9,7.2,4.5,0.0,8.1,3.8,0.9,0.1,2.4,16.9,31.972250000000003,2429.891,0.49,0.797
37,Tyreke Evans,75,34.3,6.7,2.9,1.0,5.1,6.7,1.3,0.2,3.7,20.2,31.9697,2397.7275,0.448,0.754
38,Kyle Lowry,70,35.1,6.4,3.9,2.0,4.8,7.1,1.7,0.4,2.9,16.8,31.9095,2233.665,0.415,0.81
39,Kemba Walker,74,34.6,6.2,3.7,1.3,3.6,5.4,1.5,1.0,2.0,18.8,31.75915,2350.1771000000003,0.401,0.831
40,Reggie Jackson,75,32.0,6.5,3.1,1.1,5.0,7.8,0.9,0.5,3.0,17.3,31.402999999999995,2355.2249999999995,0.437,0.848
41,Mike Conley,80,33.0,6.0,3.2,1.7,3.0,5.9,1.5,0.4,3.1,19.7,31.386,2510.88,0.45,0.842
42,Hassan Whiteside,72,28.5,6.0,2.5,0.0,11.9,0.1,0.7,0.8,1.5,13.9,31.150499999999997,2242.836,0.599,0.49
43,Jarrett Jack,80,36.3,6.2,3.1,0.8,3.8,6.8,1.1,1.0,2.3,17.1,30.9434,2475.472,0.461,0.868
44,Brandon Knight,70,33.5,6.6,3.2,1.9,3.8,5.3,1.4,0.3,3.4,19.3,30.4192,2129.344,0.431,0.835
45,Derrick Favors,76,32.5,6.9,3.2,0.0,8.6,1.5,1.0,0.3,1.9,17.4,30.401999999999997,2310.5519999999997,0.52,0.672
46,George Hill,75,31.5,5.4,2.4,1.7,4.3,4.9,1.1,0.5,1.9,18.0,30.36,2277.0,0.48,0.796
47,Michael Carter-Williams,72,31.5,5.2,3.1,0.4,4.9,6.0,1.9,2.0,1.9,14.9,30.2945,2181.2039999999997,0.42,0.726
48,Ty Lawson,77,35.6,6.0,3.6,1.3,3.2,7.3,1.4,0.2,2.2,17.0,30.220999999999997,2327.017,0.472,0.773
49,Dwight Howard,70,32.2,6.3,4.0,0.0,11.4,1.5,0.8,0.5,1.4,12.3,30.1314,2109.198,0.589,0.526
50,Al Jefferson,72,32.0,7.8,1.9,0.0,9.0,1.9,0.8,0.4,2.0,16.8,29.80745,2146.1364,0.492,0.691
51,Chandler Parsons,74,36.8,6.9,2.4,2.5,5.7,3.8,1.1,0.2,2.9,18.3,29.7022,2197.9628000000002,0.469,0.73
52,Al Horford,75,30.9,6.9,1.7,0.1,7.0,3.3,0.9,0.6,1.6,17.4,29.677699999999994,2225.8274999999994,0.544,0.746
53,Rudy Gay,70,35.7,7.9,5.1,1.1,6.0,3.4,1.3,0.6,3.7,17.4,29.453049999999998,2061.7135,0.456,0.843
54,DeMar DeRozan,74,35.3,6.9,5.7,0.5,4.3,3.4,1.1,0.3,2.1,18.8,29.2287,2162.9238,0.424,0.83
55,Kobe Bryant,55,34.8,6.9,4.9,1.4,5.4,5.4,1.2,0.2,2.7,16.3,29.046300000000002,1597.5465000000002,0.386,0.822
56,Deron Williams,66,32.0,4.8,2.8,1.5,3.2,6.4,1.0,2.8,1.9,13.5,28.97,1912.02,0.45,0.75
57,Chris Bosh,74,35.6,8.1,3.9,1.3,6.8,2.0,1.0,0.6,3.2,18.0,28.951500000000003,2142.411,0.49,0.786
58,Tim Duncan,70,27.7,5.2,2.9,0.0,8.6,2.8,0.7,0.3,1.3,13.9,28.825750000000003,2017.8025000000002,0.525,0.747
59,DeMarre Carroll,74,33.3,4.9,2.1,2.1,5.7,2.0,1.5,0.9,1.8,16.2,28.443299999999997,2104.8041999999996,0.481,0.758
60,Andrew Wiggins,82,38.2,7.1,5.9,0.6,5.5,2.2,1.1,0.3,2.8,18.8,28.359200000000005,2325.4544000000005,0.451,0.78
61,Karl-Anthony Towns,78,34.4,5.7,3.3,0.2,8.1,0.9,0.6,0.6,2.1,15.8,28.3044,2207.7432,0.496,0.8
62,David Lee,73,32.3,6.9,2.9,0.0,9.1,2.7,0.7,0.3,2.5,13.9,28.238200000000003,2061.3886,0.519,0.776
63,Nerlens Noel,75,32.8,5.3,2.2,0.0,8.9,2.0,1.9,1.0,1.2,12.1,28.107699999999998,2108.0775,0.482,0.627
