,PLAYER,GP,MIN,FGM,FTM,3PM,REB,AST,STL,BLK,TO,PTS,FPPG,TOTALFPTS,FG%,FT%
1,James Harden,79,37.1,8.2,8.1,2.7,5.3,5.9,2,3,1.5,26,50.71535,4006.51265,0.459,0.871
7,Chris Paul,73,34.8,6.7,3.5,1.8,4.2,10.9,2.1,0.5,2.4,26.1,46.86385,3421.06105,0.489,0.887
0,Kevin Durant,79,37.7,9.1,7.6,2.2,6.9,4.7,1.2,0.6,3.5,27.2,45.7004,3610.3316,0.512,0.878
9,DeMarcus Cousins,73,34,8.8,6.8,0,12.7,4,1.7,0.6,2.5,24.1,44.0464,3215.3872,0.474,0.762
3,Stephen Curry,79,33.5,8.2,3.7,3.8,4.1,7.6,2.1,0.6,3.8,24.8,43.198,3412.642,0.49,0.904
4,LeBron James,74,36.5,8.7,5.4,1.9,6.2,7.3,1.6,0.3,3,25.5,42.4858,3143.9492,0.502,0.726
2,Anthony Davis,73,35.9,9.8,6,0.4,10.4,2.8,1.5,0.2,3.2,23.8,40.443,2952.339,0.53,0.807
5,Damian Lillard,82,37.5,8.4,6.1,2.8,4.8,6.5,1.1,0.2,4.1,24.4,39.0625,3203.125,0.42,0.866
6,Russell Westbrook,74,33.8,8.1,7,1.3,6.6,8,2,0.2,2.3,18.8,38.6694,2861.5356,0.437,0.828
10,Blake Griffin,76,35.9,9.4,5.3,0.1,8.3,5.1,0.9,0.6,2,22.7,38.50195,2926.1482,0.514,0.735
8,Carmelo Anthony,69,37.3,9.4,5.5,1.8,6.9,3,1.1,1.7,4,24.4,38.41615,2650.71435,0.448,0.825
12,Jimmy Butler,72,37.8,7.1,5.4,1.4,5.9,3.6,1.8,0.6,2.9,22.5,36.8721,2654.7912,0.468,0.839
13,Paul George,78,36.6,7.5,5.4,2.2,7.4,3.7,1.8,0.3,2.5,20.4,36.612,2855.736,0.433,0.842
17,John Wall,77,35.8,6.4,3.7,0.8,4.4,9.9,1.8,0.1,2.3,19.3,36.15075,2783.60775,0.45,0.799
24,Eric Bledsoe,78,35.7,6.2,4.4,1.2,5.3,6.1,1.7,1.7,2.2,18.9,35.9388,2803.2264,0.452,0.794
15,Gordon Hayward,77,35.4,6.7,5.1,1.8,4.7,4.6,1.4,0.8,2.8,21.9,35.6536,2745.3272,0.459,0.812
22,Monta Ellis,81,37,7.6,3.7,1,3.6,6,1.9,0.7,2,21.5,34.68165,2809.21365,0.442,0.769
47,Kevin Love,74,34.8,6.1,3.7,2.1,10,2.4,0.7,1.4,2.1,17.8,34.5235,2554.739,0.44,0.806
30,LaMarcus Aldridge,73,31.9,7.8,4,0.1,9.8,1.9,0.7,0.6,2.4,20.7,34.4356,2513.7988,0.501,0.837
32,Victor Oladipo,77,35.3,6.8,3.9,1.2,4.3,4.2,1.9,1.8,1.6,19.4,34.27355,2639.06335,0.443,0.805
